WARNING:tensorflow:From d:\lixin\git_projects\learn-python\tf_cifar10\cifar10_input.py:158: string_input_producer (from tensorflow.python.training.input) is deprecated and will be removed in a future version.
Instructions for updating:
Queue-based input pipelines have been replaced by `tf.data`. Use `tf.data.Dataset.from_tensor_slices(string_tensor).shuffle(tf.shape(input_tensor, out_type=tf.int64)[0]).repeat(num_epochs)`. If `shuffle=False`, omit the `.shuffle(...)`.
WARNING:tensorflow:From D:\lixin\Anaconda4.2\lib\site-packages\tensorflow\python\training\input.py:276: input_producer (from tensorflow.python.training.input) is deprecated and will be removed in a future version.
Instructions for updating:
Queue-based input pipelines have been replaced by `tf.data`. Use `tf.data.Dataset.from_tensor_slices(input_tensor).shuffle(tf.shape(input_tensor, out_type=tf.int64)[0]).repeat(num_epochs)`. If `shuffle=False`, omit the `.shuffle(...)`.
WARNING:tensorflow:From D:\lixin\Anaconda4.2\lib\site-packages\tensorflow\python\training\input.py:188: limit_epochs (from tensorflow.python.training.input) is deprecated and will be removed in a future version.
Instructions for updating:
Queue-based input pipelines have been replaced by `tf.data`. Use `tf.data.Dataset.from_tensors(tensor).repeat(num_epochs)`.
WARNING:tensorflow:From D:\lixin\Anaconda4.2\lib\site-packages\tensorflow\python\training\input.py:197: QueueRunner.__init__ (from tensorflow.python.training.queue_runner_impl) is deprecated and will be removed in a future version.
Instructions for updating:
To construct input pipelines, use the `tf.data` module.
WARNING:tensorflow:From D:\lixin\Anaconda4.2\lib\site-packages\tensorflow\python\training\input.py:197: add_queue_runner (from tensorflow.python.training.queue_runner_impl) is deprecated and will be removed in a future version.
Instructions for updating:
To construct input pipelines, use the `tf.data` module.
WARNING:tensorflow:From d:\lixin\git_projects\learn-python\tf_cifar10\cifar10_input.py:79: FixedLengthRecordReader.__init__ (from tensorflow.python.ops.io_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Queue-based input pipelines have been replaced by `tf.data`. Use `tf.data.FixedLengthRecordDataset`.
Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
WARNING:tensorflow:From d:\lixin\git_projects\learn-python\tf_cifar10\cifar10_input.py:126: shuffle_batch (from tensorflow.python.training.input) is deprecated and will be removed in a future version.
Instructions for updating:
Queue-based input pipelines have been replaced by `tf.data`. Use `tf.data.Dataset.shuffle(min_after_dequeue).batch(batch_size)`.
2019-04-19 13:26:34.947846: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
WARNING:tensorflow:From D:\lixin\Anaconda4.2\lib\site-packages\tensorflow\python\training\monitored_session.py:804: start_queue_runners (from tensorflow.python.training.queue_runner_impl) is deprecated and will be removed in a future version.
Instructions for updating:
To construct input pipelines, use the `tf.data` module.
2019-04-19 13:26:36.291474: step 0, loss = 4.67 (903.0 examples/sec; 0.142 sec/batch)
2019-04-19 13:26:38.657387: step 10, loss = 4.63 (541.0 examples/sec; 0.237 sec/batch)
2019-04-19 13:26:41.012719: step 20, loss = 4.49 (543.4 examples/sec; 0.236 sec/batch)
2019-04-19 13:26:43.265741: step 30, loss = 4.44 (568.1 examples/sec; 0.225 sec/batch)
2019-04-19 13:26:45.564822: step 40, loss = 4.50 (556.7 examples/sec; 0.230 sec/batch)
2019-04-19 13:26:47.874337: step 50, loss = 4.32 (554.2 examples/sec; 0.231 sec/batch)
2019-04-19 13:26:50.149488: step 60, loss = 4.28 (562.6 examples/sec; 0.228 sec/batch)
2019-04-19 13:26:52.490253: step 70, loss = 4.35 (546.8 examples/sec; 0.234 sec/batch)
2019-04-19 13:26:54.886378: step 80, loss = 4.13 (534.2 examples/sec; 0.240 sec/batch)
2019-04-19 13:26:57.186860: step 90, loss = 4.08 (556.4 examples/sec; 0.230 sec/batch)
2019-04-19 13:26:59.567941: step 100, loss = 4.10 (537.6 examples/sec; 0.238 sec/batch)
2019-04-19 13:27:02.015432: step 110, loss = 3.99 (523.0 examples/sec; 0.245 sec/batch)
2019-04-19 13:27:04.429269: step 120, loss = 4.04 (530.3 examples/sec; 0.241 sec/batch)
2019-04-19 13:27:06.907186: step 130, loss = 4.05 (516.6 examples/sec; 0.248 sec/batch)
2019-04-19 13:27:09.419039: step 140, loss = 3.92 (509.6 examples/sec; 0.251 sec/batch)
2019-04-19 13:27:11.852566: step 150, loss = 3.94 (526.0 examples/sec; 0.243 sec/batch)
2019-04-19 13:27:14.304576: step 160, loss = 4.36 (522.0 examples/sec; 0.245 sec/batch)
2019-04-19 13:27:16.806124: step 170, loss = 3.88 (511.7 examples/sec; 0.250 sec/batch)
2019-04-19 13:27:19.253320: step 180, loss = 3.92 (523.0 examples/sec; 0.245 sec/batch)
2019-04-19 13:27:21.649978: step 190, loss = 3.91 (534.1 examples/sec; 0.240 sec/batch)
2019-04-19 13:27:24.159440: step 200, loss = 4.00 (510.3 examples/sec; 0.251 sec/batch)
2019-04-19 13:27:26.686120: step 210, loss = 3.87 (506.4 examples/sec; 0.253 sec/batch)
2019-04-19 13:27:29.113898: step 220, loss = 4.07 (527.2 examples/sec; 0.243 sec/batch)
2019-04-19 13:27:31.557389: step 230, loss = 3.79 (523.8 examples/sec; 0.244 sec/batch)
2019-04-19 13:27:34.003829: step 240, loss = 3.94 (523.2 examples/sec; 0.245 sec/batch)
2019-04-19 13:27:36.529102: step 250, loss = 3.68 (506.9 examples/sec; 0.253 sec/batch)
2019-04-19 13:27:39.014859: step 260, loss = 3.61 (514.9 examples/sec; 0.249 sec/batch)
2019-04-19 13:27:41.555147: step 270, loss = 3.45 (504.1 examples/sec; 0.254 sec/batch)
2019-04-19 13:27:44.079288: step 280, loss = 3.39 (506.9 examples/sec; 0.253 sec/batch)
